value,std,pedVal,task,side,roi,type
4.7072,0,0.1,2,1,1,1
1.2939,0,0.1,2,1,1,1
3.9335,0,0.1,2,1,1,1
3.5553,0,0.1,2,1,1,1
1.8137,0,0.1,2,1,1,1
2.1236,0,0.2,1,1,1,1
1.2692,0,0.2,1,1,1,1
2.7712,0,0.2,1,1,1,1
1.1872,0,0.2,1,1,1,1
3.2004,0,0.2,1,1,1,1
2.1749,0,0.2,1,1,1,1
0.87346,0,0.2,1,1,1,1
2.98,0,0.2,1,1,1,1
1.2271,0,0.2,1,1,1,1
3.6519,0,0.2,1,1,1,1
3.2013,0,0.2,1,1,1,1
1.3143,0,0.2,1,1,1,1
6.0649,0,0.2,1,1,1,1
2.1002,0,0.2,1,1,1,1
3.8292,0,0.2,1,1,1,1
1.0195,0,0.2,1,1,1,1
4.1198,0,0.2,1,1,1,1
1.3953,0,0.2,1,1,1,1
2.079,0,0.2,1,1,1,1
6.069,0,0.2,1,1,1,1
1.5809,0,0.2,1,1,1,1
1.6816,0,0.2,1,1,1,1
0.32135,0,0.2,1,1,1,1
0.42688,0,0.2,1,1,1,1
0.06874,0,0.2,1,1,1,1
0.6869,0,0.2,1,1,1,1
4.6936,0,0.2,1,1,1,1
0.9735,0,0.2,1,1,1,1
6.0892,0,0.2,1,1,1,1
1.4687,0,0.2,1,1,1,1
3.7042,0,0.2,1,1,1,1
1.2912,0,0.2,1,1,1,1
4.3645,0,0.2,1,1,1,1
1.1591,0,0.2,1,1,1,1
4.0302,0,0.2,1,1,1,1
3.7448,0,0.2,1,1,1,1
2.0202,0,0.2,1,1,1,1
2.0915,0,0.2,2,1,1,1
1.2222,0,0.2,2,1,1,1
2.9033,0,0.2,2,1,1,1
1.3013,0,0.2,2,1,1,1
2.9074,0,0.2,2,1,1,1
2.3173,0,0.2,2,1,1,1
0.72208,0,0.2,2,1,1,1
2.9011,0,0.2,2,1,1,1
1.1791,0,0.2,2,1,1,1
3.6622,0,0.2,2,1,1,1
3.2513,0,0.2,2,1,1,1
1.2236,0,0.2,2,1,1,1
6.2017,0,0.2,2,1,1,1
1.992,0,0.2,2,1,1,1
3.3859,0,0.2,2,1,1,1
1.196,0,0.2,2,1,1,1
4.0503,0,0.2,2,1,1,1
1.7118,0,0.2,2,1,1,1
2.028,0,0.2,2,1,1,1
6.413,0,0.2,2,1,1,1
1.7368,0,0.2,2,1,1,1
1.8213,0,0.2,2,1,1,1
0.38029,0,0.2,2,1,1,1
0.34236,0,0.2,2,1,1,1
-0.1183,0,0.2,2,1,1,1
0.67246,0,0.2,2,1,1,1
4.5338,0,0.2,2,1,1,1
1.3397,0,0.2,2,1,1,1
6.3839,0,0.2,2,1,1,1
1.4924,0,0.2,2,1,1,1
3.6735,0,0.2,2,1,1,1
1.2211,0,0.2,2,1,1,1
5.0476,0,0.2,2,1,1,1
1.1814,0,0.2,2,1,1,1
4.3627,0,0.2,2,1,1,1
4.0015,0,0.2,2,1,1,1
2.1696,0,0.2,2,1,1,1
1.8529,0,0.3,1,1,1,1
1.301,0,0.3,1,1,1,1
2.3307,0,0.3,1,1,1,1
1.2075,0,0.3,1,1,1,1
3.1034,0,0.3,1,1,1,1
2.6685,0,0.3,1,1,1,1
0.93774,0,0.3,1,1,1,1
2.7196,0,0.3,1,1,1,1
0.98593,0,0.3,1,1,1,1
3.9392,0,0.3,1,1,1,1
3.808,0,0.3,1,1,1,1
1.4996,0,0.3,1,1,1,1
5.877,0,0.3,1,1,1,1
1.3529,0,0.3,1,1,1,1
3.9172,0,0.3,1,1,1,1
1.5481,0,0.3,1,1,1,1
3.8455,0,0.3,1,1,1,1
1.6208,0,0.3,1,1,1,1
2.0949,0,0.3,1,1,1,1
5.065,0,0.3,1,1,1,1
1.4763,0,0.3,1,1,1,1
1.3804,0,0.3,1,1,1,1
0.079294,0,0.3,1,1,1,1
0.28623,0,0.3,1,1,1,1
-0.0095993,0,0.3,1,1,1,1
0.95965,0,0.3,1,1,1,1
5.0184,0,0.3,1,1,1,1
1.3575,0,0.3,1,1,1,1
5.2458,0,0.3,1,1,1,1
1.8655,0,0.3,1,1,1,1
3.5408,0,0.3,1,1,1,1
1.4247,0,0.3,1,1,1,1
3.7366,0,0.3,1,1,1,1
1.0266,0,0.3,1,1,1,1
3.6854,0,0.3,1,1,1,1
2.8082,0,0.3,1,1,1,1
1.7257,0,0.3,1,1,1,1
1.4524,0,0.3,2,1,1,1
0.68561,0,0.3,2,1,1,1
2.2255,0,0.3,2,1,1,1
0.7272,0,0.3,2,1,1,1
2.7151,0,0.3,2,1,1,1
1.7465,0,0.3,2,1,1,1
0.51062,0,0.3,2,1,1,1
1.8743,0,0.3,2,1,1,1
0.83439,0,0.3,2,1,1,1
3.38,0,0.3,2,1,1,1
2.5466,0,0.3,2,1,1,1
0.66609,0,0.3,2,1,1,1
5.4987,0,0.3,2,1,1,1
1.352,0,0.3,2,1,1,1
3.0035,0,0.3,2,1,1,1
0.65414,0,0.3,2,1,1,1
3.4003,0,0.3,2,1,1,1
1.4033,0,0.3,2,1,1,1
